Source,Target,Type
1591750,1514220,Undirected
1591750,1521794,Undirected
1591750,1522771,Undirected
1591750,1533282,Undirected
1591750,1551877,Undirected
1591750,1553354,Undirected
1591750,1561450,Undirected
1591750,1589854,Undirected
1593590,905936,Undirected
1593590,1182328,Undirected
1593590,1207389,Undirected
1593590,1217513,Undirected
1593590,1263775,Undirected
1593590,1287107,Undirected
1593590,1309076,Undirected
1593590,1324623,Undirected
1593590,1365565,Undirected
1593590,1372631,Undirected
1593590,1391579,Undirected
1593590,1394908,Undirected
1593590,1395729,Undirected
1593590,1396231,Undirected
1593590,1420161,Undirected
1593590,1420718,Undirected
1593590,1421765,Undirected
1593590,1430141,Undirected
1593590,1440589,Undirected
1593590,1440965,Undirected
1593590,1445672,Undirected
1593590,1451838,Undirected
1593590,1453134,Undirected
1593590,1474478,Undirected
1593590,1478716,Undirected
1593590,1512878,Undirected
1593590,1514220,Undirected
1593590,1522771,Undirected
1593590,1527469,Undirected
1593590,1553354,Undirected
1593590,1561450,Undirected
1593590,1579245,Undirected
1593590,1589854,Undirected
1593590,1591750,Undirected
1604380,905936,Undirected
1604380,1182328,Undirected
1604380,1309076,Undirected
1604380,1391579,Undirected
1604380,1420161,Undirected
1604380,1421765,Undirected
1604380,1440589,Undirected
1604380,1443510,Undirected
1604380,1445672,Undirected
1604380,1451838,Undirected
1604380,1474478,Undirected
1604380,1476385,Undirected
1604380,1479094,Undirected
1604380,1512878,Undirected
1604380,1516619,Undirected
1604380,1561450,Undirected
1604380,1591750,Undirected
1604380,1593590,Undirected
1604380,1594052,Undirected
1604380,1597051,Undirected
1607980,1081969,Undirected
1607980,1207389,Undirected
1607980,1257091,Undirected
1607980,1287107,Undirected
1607980,1296527,Undirected
1607980,1365565,Undirected
1607980,1392465,Undirected
1607980,1394908,Undirected
1607980,1412144,Undirected
1607980,1414954,Undirected
1607980,1430141,Undirected
1607980,1430142,Undirected
1607980,1434043,Undirected
1607980,1440965,Undirected
1607980,1443510,Undirected
1607980,1443844,Undirected
1607980,1451838,Undirected
1607980,1453134,Undirected
1607980,1468995,Undirected
1607980,1488471,Undirected
1607980,1527327,Undirected
1607980,1527469,Undirected
1607980,1538393,Undirected
1607980,1546100,Undirected
1607980,1553354,Undirected
1607980,1573109,Undirected
1607980,1579245,Undirected
1607980,1580183,Undirected
1607980,1607976,Undirected
1607980,1607977,Undirected
1607980,1607978,Undirected
1607980,1607979,Undirected
1618460,999530,Undirected
1618460,1081969,Undirected
1618460,1207389,Undirected
1618460,1217806,Undirected
1618460,1257091,Undirected
1618460,1263775,Undirected
1618460,1285371,Undirected
1618460,1287107,Undirected
1618460,1296527,Undirected
1618460,1298696,Undirected
1618460,1365565,Undirected
1618460,1376922,Undirected
1618460,1392465,Undirected
1618460,1394908,Undirected
1618460,1396231,Undirected
1618460,1412144,Undirected
1618460,1422652,Undirected
1618460,1423316,Undirected
1618460,1430141,Undirected
1618460,1430142,Undirected
1618460,1434043,Undirected
1618460,1440965,Undirected
1618460,1443510,Undirected
1618460,1443844,Undirected
1618460,1453134,Undirected
1618460,1455573,Undirected
1618460,1466084,Undirected
1618460,1468995,Undirected
1618460,1472321,Undirected
1618460,1473184,Undirected
1618460,1480004,Undirected
1618460,1488471,Undirected
1618460,1499308,Undirected
1618460,1512878,Undirected
1618460,1526781,Undirected
1618460,1527327,Undirected
1618460,1527469,Undirected
1618460,1528259,Undirected
1618460,1529598,Undirected
1618460,1538393,Undirected
1618460,1545456,Undirected
1618460,1553354,Undirected
1618460,1565210,Undirected
1618460,1573109,Undirected
1618460,1579245,Undirected
1618460,1580183,Undirected
1618460,1588755,Undirected
1618460,1590414,Undirected
1618460,1607980,Undirected
1618460,1610421,Undirected
1618460,1611007,Undirected
1618460,1611812,Undirected
1618460,1615838,Undirected
1619930,216389,Undirected
1619930,341848,Undirected
1629830,905936,Undirected
1629830,1182328,Undirected
1629830,1205816,Undirected
1629830,1263775,Undirected
1629830,1309076,Undirected
1629830,1324623,Undirected
1629830,1391579,Undirected
1629830,1392458,Undirected
1629830,1394908,Undirected
1629830,1395729,Undirected
1629830,1396231,Undirected
1629830,1414954,Undirected
1629830,1420161,Undirected
1629830,1420718,Undirected
1629830,1421765,Undirected
1629830,1423316,Undirected
1629830,1440589,Undirected
1629830,1443510,Undirected
1629830,1445672,Undirected
1629830,1449510,Undirected
1629830,1451838,Undirected
1629830,1466084,Undirected
1629830,1472321,Undirected
1629830,1474478,Undirected
1629830,1476385,Undirected
1629830,1478716,Undirected
1629830,1480654,Undirected
1629830,1499308,Undirected
1629830,1512878,Undirected
1629830,1516619,Undirected
1629830,1521794,Undirected
1629830,1533282,Undirected
1629830,1539519,Undirected
1629830,1551877,Undirected
1629830,1561450,Undirected
1629830,1573109,Undirected
1629830,1580183,Undirected
1629830,1588755,Undirected
1629830,1589854,Undirected
1629830,1591750,Undirected
1629830,1593590,Undirected
1629830,1594052,Undirected
1629830,1597051,Undirected
1629830,1604380,Undirected
1629830,1609721,Undirected
1629830,1618174,Undirected
1629830,1620294,Undirected
1641440,905936,Undirected
